ADAMS,396,383,13
ALLEGHENY,4962,4771,191
ARMSTRONG,86,86,0
BEAVER,837,812,25
BEDFORD,92,85,7
BERKS,4692,4534,158
BLAIR,104,93,11
BRADFORD,59,52,7
BUCKS,6083,5537,546
BUTLER,421,381,40
CAMBRIA,136,115,21
CAMERON,4,4,0
CARBON,298,294,4
CENTRE,243,226,17
CHESTER,4012,3797,215
CLARION,62,58,4
CLEARFIELD,90,70,20
CLINTON,97,85,12
COLUMBIA,419,395,24
CRAWFORD,77,61,16
CUMBERLAND,947,902,45
DAUPHIN,2290,2227,63
DELAWARE,7548,7320,228
ELK,29,25,4
ERIE,712,608,104
FAYETTE,196,187,9
FOREST,7,5,2
FRANKLIN,1003,972,31
FULTON,19,17,2
GREENE,70,62,8
HUNTINGDON,258,251,7
INDIANA,150,140,10
JEFFERSON,37,31,6
JUNIATA,116,109,7
LACKAWANNA,1761,1702,59
LANCASTER,4844,4739,105
LAWRENCE,174,151,23
LEBANON,1441,1381,60
LEHIGH,4430,4379,51
LUZERNE,3017,2959,58
LYCOMING,242,225,17
MCKEAN,20,12,8
MERCER,169,148,21
MIFFLIN,72,67,5
MONROE,1471,1428,43
MONTGOMERY,8856,8841,15
MONTOUR,79,71,8
NORTHAMPTON,3554,3442,112
NORTHUMBERLAND,346,312,34
PERRY,92,85,7
PHILADELPHIA,22987,22979,8
PIKE,504,479,25
POTTER,18,15,3
SCHUYLKILL,776,747,29
SNYDER,72,61,11
SOMERSET,81,71,10
SULLIVAN,10,5,5
SUSQUEHANNA,195,188,7
TIOGA,29,23,6
UNION,99,89,10
VENANGO,36,23,13
WARREN,10,5,5
WASHINGTON,447,430,17
WAYNE,141,134,7
WESTMORELAND,994,968,26
WYOMING,45,42,3
YORK,1850,1804,46
Total,95414,92700,2714
